Название Магазина,Номер телефона,Адрес
Dreamline,"+7 (495) 755-73-22, +7 (495) 961-51-63, 8 (800) 555-44-63","Москва, Варшавское ш., 129, ТЦ Мебель России, эт. 1"
Престиж,"+7 (495) 213-31-31, +7 (926) 533-27-00, +7 (903) 770-63-06","Киевское шоссе, 22-й километр, дв4с3"
Нет названия,Нет номера,Нет адресса
Emico,+7 (495) 744-64-14,"121471, Москва, Можайское ш., 25"
Салон мебели Явид,+7 (495) 221-29-67,"Москва, Ярославское ш., 19"
Салон итальянской мебели Старый Рим,+7 (499) 705-89-98,"Россия, Москва, Малый Харитоньевский переулок, 7с1"
С Форсе Явид,"+7 (926) 680-34-35, +7 (903) 279-14-90","143026, ул. Агрохимиков, с1, рабочий посёлок Новоивановское"
Интерком,+7 (499) 394-04-39,"Москва, Щелковское ш., 100"
SettySet,+7 (925) 203-71-06,"Москва, Ленинградское ш., пос.Жуково, мкр Березки"
Салон мебельной фабрики Кухни Бобр,"+7 (499) 955-42-06, +7 (499) 955-46-13, +7 (499) 955-49-98","125466, Машкинское ш., с1, Москва"
Нет названия,Нет номера,Нет адресса
Arva,"+7 (916) 931-69-02, +7 (916) 804-14-76, +7 (968) 847-00-53","101000, Девяткин пер., 4"
ГарантМебельСервис,+7 (495) 139-66-26,"115404, 6-я Радиальная ул., 17, стр. 1"
Мебельная фабрика Бест,+7 (495) 790-52-83,"Московская ул., 14, Химки"
Рона,"+7 (495) 926-75-37, +7 (985) 768-41-15","115404, 6-я Радиальная ул., 17, стр. 2"
Стальупак,+7 (495) 508-74-24,"109202, Перовское ш., 21, стр. 3"
Старинофф-мебель,+7 (926) 884-22-49,"Москва, ул. Свободы, 35, стр. 19"
Эксперты Мебели,"8 (800) 700-56-17, +7 (499) 130-36-47","115280, ул. Ленинская Слобода, 26, стр. 28"
Neopolis Casa,+7 (495) 539-54-50,"Москва, Дмитровское ш., 159, ТЦ Империя"
Mebelinmoscow,+7 (495) 585-35-46,"Россия, Москва, 1-я Карачаровская улица, 8А"
Latuning,+7 (495) 118-27-56,"Россия, Москва, улица Нижняя Сыромятническая, 10, с9, подъезд Е"
Moonzana,+7 (495) 120-00-25,"101000, Старосадский пер., 6/12с2"
Emozioni Di Casa,"+7 (495) 725-66-32, +7 (985) 763-95-62","115280, ул. Ленинская Слобода, 26"
Синее Солнце,+7 (499) 391-42-95,"3, посёлок Коммунарка"
Мебельная компания 3 Бобра,+7 (495) 997-17-78,"Москва, Пятницкое ш., 54, корп.2, стр. 6, оф. 101"
Мастерская кухонной мебели Едим Дома,+7 (985) 056-00-01,"Россия, Москва, Дмитровское шоссе, 118, корп. 1"
Wood works,"+7 (965) 122-12-22, +7 (966) 122-12-22, +7 (999) 987-24-40, +7 (926) 277-57-79","140055, Дзержинское ш., 2, Котельники"
LinkMebel. Мебельная биржа,8 (800) 500-71-38,"Московская обл., Мытищи, Волковское ш., 5а, стр. 1"
"МебЭстет, отдел продаж","+7 (495) 975-92-29, +7 (495) 108-05-91","109029, Нижегородская ул., 32, стр. 5"
Mvk Мебель,"+7 (985) 773-81-67, +7 (495) 773-81-67","125212, Ленинградское ш., 25"
Мебель Династия,"+7 (495) 642-33-78, +7 (926) 751-83-97","Россия, Москва, Ангарская улица, 23к3"
Enjoy Home,"+7 (495) 640-91-65, +7 (495) 127-01-52","105005, Денисовский пер., 23, стр. 1"
Первая мебельная фабрика,"8 (800) 555-06-46, +7 (499) 418-07-39, +7 (499) 418-07-42","127253, Дмитровское ш., 118, корп. 1"
Первая мебельная фабрика,"8 (800) 555-06-46, +7 (499) 418-07-01","115280, ул. Ленинская Слобода, 26"
Дом мебели Скай,"8 (800) 301-66-36, +7 (495) 215-09-13","117393, Профсоюзная ул., 56"
Белорусская Мебельная фабрика № 1,+7 (499) 322-85-45,"127254, ул. Добролюбова, 8А, стр. 5"
Furniture Gallery,"+7 (495) 766-76-94, +7 (499) 877-56-95","117186, Нагорная ул., 5, корп. 4"
Excellent Wood,+7 (495) 128-14-42,"127411, Дмитровское ш., 161Б"
Mobilform,+7 (495) 544-25-96,"115093, 1-й Щипковский пер., 4"
СантехВегас,+7 (499) 394-18-13,"Москва, Нахимовский просп., 24б, ТЦ Экспострой, эт. 2, пав. 211"
Умные кухни,"+7 (926) 145-59-15, +7 (495) 177-87-58","Россия, Москва, 10-я Парковая улица, 18, офис 17"
Кухонный Двор,+7 (495) 223-41-89,"Москва, ул. Пришвина, 29, эт. 2"
Леа-Стиль,+7 (495) 772-23-62,"117535, Россошанская ул., 10"
Дом мебели,+7 (925) 156-83-23,"Москва, просп. Свободный, 33а"
Купе-регион,+7 (499) 653-89-85,"Москва, ул. Шоссейная, 90а"
Woodland - фабрика мебели,+7 (495) 215-11-78,"Москва, ул. Островитянова, 9, корп.4"
Ликарион,"+7 (495) 960-30-18, +7 (905) 513-03-64","109145, Москва, МКАД, 8-й км, 3, стр. 1, МТК Скарабей, эт. 2"
Московия мебель,+7 (495) 769-05-06,"Москва, ул. Шоссейная, 90, корп.2, стр. 24"
My Little France,"+7 (495) 782-51-50, 8 (800) 770-71-50","Москва, ул. Рябиновая, 41, корп.1"
Кухни Италии,+7 (916) 635-91-55,"Москва, Рублевское ш., 14, корп.1"
"Бизнес Мебель, ООО","+7 (495) 755-38-56, +7 (977) 495-22-34","Москва, ул. 1-я Владимирская, 19/1"
Мебель на Ваш Вкус - Производственная мебельная компания,+7 (495) 125-44-75,"Россия, Москва, поселение Московский, Киевское шоссе, 22-й километр, дв4с1кА"
Хорошие кухни Kitchengood,+7 (985) 519-00-03,"115533, Высокая ул., 12"
Интернет-магазин MebelUn,+7 (495) 724-84-89,"Москва, просп. Андропова, 22, оф. 45"
Нет названия,Нет номера,Нет адресса
Сундук,8 (804) 333-67-53,"127282, Полярная ул., 41"
Dolce Casa,+7 (495) 130-17-94,"Москва, Нахимовский просп., 24, ТВЦ «Экспострой» пав. 3, оф. 182"
"МетМебельГрупп, ООО","(495) 545-42-15, (495) 162-24-26","65000, Москва, 4-й проезд Подбельского, 3"
"Евро Турбо Мебель, склад","+7 (929) 599-79-16, +7 (495) 394-04-37","125438, Автомоторная ул., 7"
Мировая древесина,+7 (926) 235-38-84,"119602, ул. Покрышкина, 8, корп. 1"
ШКОМ,+7 (495) 646-75-75,"Москва, ул. Перерва, 1а"
"Подушка сидушка, бескаркасная мебель",+7 (926) 843-20-05,"Москва, Никитский бульвар, 12"
Нет названия,Нет номера,Нет адресса
Плаза Интерьер,+7 (495) 638-66-33,"Москва, ул. Свободы, 29, офис 418"
Кухни Беларуси и Мебель,"+7 (495) 255-00-24, 255-24-04","Москва, ул. Коммунарка Ясная, 5"
Grandsstyle,"+7 (499) 372-06-87, +7 (495) 772-31-50","Москва, Ярославское шоссе, 19"
"Атлантис, ООО",8 (495) 672-74-93,"Москва, ул. Плеханова, 11"
Mr. Doors,+7 (499) 550-01-10,"Москва, Рязанский проспект, 2, корпус 3"
НШК,8 (495) 706-50-07,"Москва, ул. Генерала Кузнецова, 11, кор. 1"
Аспект,+7 (495) 922-44-38,"Москва, ул. Перерва, 31"
Ваши кухни,+7 (985) 643-57-76,"Москва, Батюнинский проезд, 6"
Ваши шкафы,8 (495) 643-57-76,"Москва, Батюнинский проезд, 6"
Мебельные детали,8 (495) 972-10-28,"Москва, Батюнинский проезд, 6"
Апонте,"+7 (495) 322-01-45, +7 (495) 325-24-31","115516, Севанская ул., 62"
Элегантные Кухни,8 (495) 226-19-57,"Москва, Сущевский вал, 9"
Королевская линия,8 (925) 05-77-987,"Москва, Носовихинское шоссе, владение 4"
КБМТ-Мебель,+7 (499) 409-52-90,"Москва, ул. Расплетина, 13"
КБМТ-Мебель,+7 (499) 409-52-90,"Москва, ул. Расплетина, 13"
КБМТ-Мебель,+7 (499) 409-52-90,"Москва, ул. Расплетина, 13"
КБМТ-Мебель,+7 (499) 409-52-90,"Москва, ул. Расплетина, 13"
"loreto.ru, мебель на заказ","8 (495) 971-07-23, 971-06-37","Москва, Варшавское шоссе, 33, стр. 13"
Акварель Фабрика Мебели,8 (916) 129-54-08,"Москва, Ленинградский просп., 31а"
Мечта-Мебель,"+7 (495) 744-51-30, +7 (963) 711-66-72","Москва, Наставнический пер., 17"
"ЛИАРЭН, ООО",8 (495) 783-23-25,"Москва, ул. Халтуринская, 6а"
Кровати в Москве,+7 (915) 109-11-12,"Москва, проезд Серебрякова, 14, оф. 40"
"Тристан, ООО",+7 (499) 397-71-48,"Москва, ул. Монтажная, 3"
ROOMER,"+7 (495) 98-33-206, +7 (967) 251-41-85","Москва, ул. Ленинская Слобода, 26"
Энли,"+7 (495) 662-81-93, +7 (916) 757-85-11","Москва, ул. Полярная, 20"
Энли Мебель России,8 (495) 221-27-75,"Москва, Ярославское шоссе, 19"
Энли,8 (499) 390-28-71,"Москва, Дмитровское шоссе, 159"
Энли,+7 (917) 502-22-09,"Мытищи, Олимпийский проспект, владение 29, стр. 1"
БОМАРШЕ,+7 (495) 743-95-29,"Москва, Фрунзенская наб., 30"
Элитная мебель,+7 (495) 789-45-32,"Москва, Кировоградская улица, 11 корпус 1"
РусМебель,"+7 (926) 520-76-87, +7 (926) 822-57-06","117342, ул. Обручева, 34/63"
"ПРАГМА МЕБЕЛЬ, интернет-магазин",+7 (904) 598-92-92,"Москва, Строительный проезд, 7"
Ромни,+7 (495) 221-78-07,"Москва, Варшавское шоссе, 265/91"
Мебель на Дом,+7 (495) 755-07-26,"Москва, ул. Вербная, 6с1"
Мебель на Века,"+7 (499) 322-93-63, +7 (920) 930-74-15","Москва, ул. Дворникова, 7"
Столярные Мастерские Zinwood,+7 (499) 350-29-23,"Химки, мкрн. Подрезково, ул. Комсомольская, 16"
Наша Марка,"+7 (495) 960-03-42, +7 (985) 960-03-42","Москва, Нахимовский пр-т, 24, с. 5, к. 1"
Наша Марка,8 (495) 532-50-33,"Москва, Ленинградское шоссе, 25"
Наша Марка,8 (495) 721-39-97,"Москва, Ленинградский проспект, 80"
MSC MEBEL,+7 (495) 922-25-43,"Москва, ул. Шипиловская, 44а"
Много Кухонь,+7 (495) 374-99-75,"Москва, ул. Шипиловская, 44а"
"Italini, салон итальянской мебели",8 (499) 553-00-18,"119571, Москва, проспект Вернадского, 94"
"ЗОВ, магазин кухонь",8 (926) 726-29-91,"Москва, Дмитровское шоссе, 110, стр. 3"
Нет названия,Нет номера,Нет адресса
"ЗОВ, магазины кухонь",+7 (926) 726-29-91,"Москва, Кронштадский б-р, 9"
Альфа Легион,8 (495) 764-19-51,"Москва, ул. Шоссейная, 1к1"
TOPBEDS,+7 (499) 408-00-97,"117587, Москва, Кировоградская ул., 11/1"
КУХНИОН,+7 (495) 740-99-65,"109316, Москва, Волгоградский проспект, 32, корп. 25"
"Мирра, ООО",+7 (495) 220-95-85,"Москва, ул. Ткацкая, 4"
ВАНС-мебель,+7 (495) 517-08-40,"Москва, ул. Новослободская, 26, стр. 1"
"С-Лайн, ООО",+7 (926) 138-05-85,"Москва, ул. Новые Черемушки, 135"
Нет названия,Нет номера,Нет адресса
"С-Лайн, ООО",+7 (926) 138-05-85,"Королев, Сосновый бор, 1"
"Аурис, ООО",8 (495) 970-55-52,"Москва, Гагаринский пер., 7к1"
ВитаКухни,+7 (499) 343-2339,"Москва, ул. Планерная, 7"
Шкафы&Кухни,+7 (499) 755-66-93,"119361, Москва, Ленинский проспект 86"
Шинуа,+7 (495) 637-61-61,"109316, Москва, Волгоградский пр-т, 2"
ДМ+,"8 (495) 518-77-19, 8 (925) 518-77-19","109544, Москва, ул. Рабочая, 84"
Мебельная Обновка,8 (495) 961-73-64,"127273, Москва, Сигнальный проезд, 18"
Студия мебели под старину Михаила Щеглова,+7 (951) 597-98-96,"Москва, ул. Красная Сосна, 3, стр. 1"
Шкафы&Кухни,+7 (499) 755-66-93,"119313, Москва, Ленинский проспект, 86"
"Делаем Мебель, ООО",+7 (925) 518-77-19,"Москва, ул. Рабочая, 84"
Металл кровати,"+7 (926) 875-47-01, +7 (495) 055-15-25","Москва, ул. Свободы, 35, стр. 14"
Кроваткин,+7 (499) 390-39-64,"Москва, Можайское шоссе, 5"
Стекломодуль,8 (495) 212-23-10,"Москва, ул. Промышленная, 11с3"
Кухнивиза,+7 (495) 664-36-01,"111395, Москва, ул. Веерная, 1к1"
"Аурис, интернет-магазин","8 (800) 775-23-14, 8 (495) 970-55-52","119034, Москва, Гагаринский пер., 7"
Мебель Продакшн,"+7 (495) 760-82-49, +7 (916) 385-35-65","127287, Москва, метро Дмитровская, улица 2-ая Хуторская, 34"
"Производственная компания ""Став Мебель""",+7 (903) 649-06-03,"Москва, ул. Автозаводская, 17"
Kuhnishkaf,+7 (916) 531-80-07,"143143, Москва, ул. Сущевский вал, 47"
Столешницы из искусственного камня,"+7 (495) 744-73-97, +7 (926) 914-53-29","Москва, ш. Энтузиастов, 4, стр. 2, (м. Площадь Ильича)"
Kuhnishkaf,8 (916) 531-80-07,"142142, Москва, ул. Сущевский вал, 9"
Одна копейка,8 (495) 772-67-35,"117638, Москва, Варшавское ш., 56"
Mebelun.ru,"8 (903) 777-04-73, 8 (495) 724-84-89","Москва, просп. Андропова, 22"
"Оптима-сервис, ООО","+7 (985) 991-57-19,+7 (909) 150-77-55","Москва, Алтуфьевское ш., 79 Д"
Наша Марка,+7 (499) 130-56-32,"Москва, ул. Рябиновая, 41, к. 1, с. 1"
"Rubleff, мебельный интернет-магазин",+7 (499) 713-96-96,"Москва, ул. Путейская, 21"
"Samygin & Samygin, мебель на заказ",+7 (910) 400-49-96,"Москва, Мансуровский пер., 10, стр. 2"
"Pan-Plit, интернет-ателье мебели","(962) 935-07-14, (968) 547-33-49","142171, Новая Москва, Щербинка, ул. 40 лет Октября, 15/1"
Интернет-магазин корпусной мебели Дон Росси,8 (495) 236-72-13,"Москва, 1-й Вязовский проезд, 5, корп. 1"
SalvaRosa,+7 (499) 648-00-49,"129272, Москва, Олимпийский пр., 30, строение 1"
Салон мебели на заказ Дешевая Мебель,+7 (495) 122-23-63,"117105, Москва, Варшавское шоссе, 39, оф. 317"
Интернет-магазин корпусной мебели Дон Росси,+7 (495) 236-72-13,"Москва, 1-й Вязовский проезд, 5, корп. 1"
Dizain-GR,"+7 (499) 899-69-06, +7 (926) 650-69-00","125502, Москва, Петрозаводская ул., 11, корпус 2"
Новая Мебель Москва,"+7 (495) 642-49-60, +7 (929) 920-31-14","Москва, 1-я улица Бухвостова, 12/11, к. 53"
МСК Мебель - изготовление мебели на заказ в Москве,+7 (495) 155-15-92,"Москва, Лермонтовский просп., 2"
Мебельная компания «3 Бобра»,+7 (495) 997-17-78,"125310, Москва, Пятницкое шоссе, 54, к. 2, стр. 6, офис 101"
Купемастер,+7 (495) 162-09-74,"107078, Москва, ул. Новая Басманная, 21/1"
"Савели, ООО","+7 (499) 390-83-20, +7 (925) 348-58-68","127238, Москва, Дмитровское шоссе, 58"
Фабрика мягкой мебели Anderssen,8 (495) 617-06-67,"125438, Москва, ул. Автомоторная, 6 Б, стр. 8"
"Торговый дом ""Алдио""",+7 (968) 912-69-70,"143541, Московская область, Истринский район, п. Октябрьской фабрики, 17, пом. 13"
Пан-Фасад Центр – Представительство Pan Fasad ТМ в РФ,"+7 495 984-65-81, +7 977 355-61-98","141006, Россия, Московская область, Мытищи, Олимпийский проспект, 29, строение 2, оф. 9Д, 9 этаж"
Фабрика мебели Mebelmpnz.ru,+7 (965) 386-82-26,"Москва, ул. Лухмановская, 13"
"Хаус-Делюкс, ООО",+7 (499) 709-57-85,"143005, Московская обл., Одинцовский р-н, д. Вырубово, ул. Прудовая, 66"
Диван в Дом,+7 (495) 728-00-47,"105118, Москва, проспект Будённого, 28, корпус 2, офис 2"
Нет названия,Нет номера,Нет адресса
"Мебель в Москве от компании ""Барс мебель""",8 (800) 100-19-08,"Москва, Ярославское шоссе, 19 ТЦ МЕБЕЛЬ РОССИИ 4 этаж"
MebelChehov.ru,+7 (903) 278-99-29,"142300, Чехов, Московская область, Вишнёвый бульвар, 3-1"
"iModern, магазин дизайнерской мебели",+7 (495) 108-74-57,"115088, Москва, Южнопортовая ул., 5, строение 1-6, офис 344А"
Bellitalia,8 (495) 730-63-40,"123007, Москва, Хорошевское шоссе, 27"
Мебель 12 Стульев,+7 (961) 532-54-89,"Москва, Лихоборская наб., 14, стр. 6"
Ваш Интерьер,+7 (925) 547-60-61,"Москва, ул. Тимирязевская, 2/3, 2 этаж"
Kardinal,+7 (495) 149-98-89,"117218, Нахимовский просп., 24, стр. 1"
Нет названия,Нет номера,Нет адресса
Ростокино-Мебель,"8 (926) 930-77-22, 8 (499) 390-27-33","129226, Москва, ул. Докукина, 10"
Renaissance,8 (495) 727-15-69,"143402, Красногорск, 65-66км МКАД, ул. Международная, 6., к. 2"
ФанФур,8 (495) 902-70-13,"Москва, Щелковское ш., 100"
Свободный стиль,8 (968) 459-36-36,"Москва, 71-й километр МКАД, ТЦ 'Кухнипарк', цокольный этаж, 10 а"
Кухни Оазис,+7 (495) 203-01-05,"115573, Москва, ул. Мусы Джалиля, 30, корпус 1"
Этажерка,+7 (495) 540-50-86,"Москва, проспект Маршала Жукова, 59"
Интернет-магазин Мебель с Вами,+7 (499) 579-93-55,"107023, Москва, Большая Семёновская, 10, ТЦ ""Мебель России"""
Ателье мебели Пан-плит (Pan-plit),"8 (985) 874-36-00, 8 (915) 006-95-80","108824, Новая Москва, пос. Рязановское, пос. Фабрика им.1 Мая, 24, к. 1"
"Белоус Олег Николаевич, ИП",+7 (917) 502-08-20,"Москва, ул. Борисовские Пруды, 1, стр. 67"
Свободный стиль,8 (962) 949-30-03,"Москва, 71-й километр МКАД, ТЦ 'Кухнипарк', цокольный этаж, 10а"
Кухни соло,(495) 255-74-24,"115551, Москва, м. Беляево, ул. Профсоюзная, 93а"
Регион-Москва,8 (800) 333-10-21,"139916, Москва, ул. Скотопрогонная, 24"
Le table,+7 (495) 849-14-00,"105120, Москва, ул. Нижняя Сыромятническая, 10/9, офис 234"
"Белоус Олег Николаевич, ИП",+7 (917) 502-08-20,"115211, Москва, ул. Борисовские пруды, 1, стр. 67"
Deni-Art,+7 (962) 923-12-18,"117186, Москва, Нахимовский пр-т, 24"
"Сеалант групп, ООО",+7 (985) 812-41-24,"109316, Москва, улица Талалихина, 41, стр. 9"
МосМебельПлюс,+7 (495) 320-75-78,"Москва, м. Сходненская, ул. Сходненская, 35, к.1, 3 этаж"
"Мебель Арт Групп, ООО",+7 (495) 789-48-97,"115092, Москва, 1-й Щипковский пер., 4 Галерея шоу-румов «ТВИНСТОР»"
"Мегакристаль, фабрика стеклянной мебели",+7 (495) 642-53-09,"Москва, ул. Дубнинская, 79, вл. 2"
"Мр Столяр, ООО",8 (925) 327-40-11,"140150, Раменский р-он, пос. Опытное поле, тер. ОАО ГЕОПРОМ"
Westcom,"8 (495) 234-32-10, 8 (800) 301-02-66","111020, Москва, ул. Боровая, 7"
Офис-Лидер,+7 (495) 155-95-37,"Москва, мкн. Богородский, 2"
Pushe,8 (800) 707-00-83,"115280, Москва, ул. Ленинская Слобода, 26"
АК-Мебель из дерева,+7 (495) 997-99-46,"Москва, ул. Стандартная, 6, стр. 38"
"Маркетплейс 2.0, ООО",+7 (495) 247-81-51,"115035, Москва, Космодамианская наб, 4/22, корпус Б, пом. XI ком. 1"
Instyle Group,+7 (495) 640-86-56,"125130, Москва, Старопетровский проезд, 11, к. 1"
Элемент мебель,"8 (800) 707-67-59, +7 (926) 192-67-59, +7 (495) 532-57-59","11123, Москва, ул. Плеханова, 4А"
Мелодия Мебели,"+7 (906) 529-53-07, +7 (980) 661-47-90","Москва, ул. Перерва, 19, стр. 1"
Modno-мебель,+7 (916) 858-95-08,"107143, Москва, 1-й Иртышский пр-д ,6"
Dekonte,+7 (800) 550-51-49,"107143, Москва, 2-ой Иртышский проезд, 13, стр. 2"
Кухни Орио,8 (800) 500-93-90,"143103, Московская область, Руза, ул. Красная, 55"
Росстроймебель,+7 (925) 422-63-55,"119146, Москва, Фрунзенская набережная, 30, пав. 15, стенд 6"
Союз-мебель,"+7 (495) 563-04-78, +7 (495) 563-86-26","Красногорск, ул. Ленина, 45"
Бидборд,+7 (925) 527-98-08,"127220, Москва, 1-я Квесисская улица, 18, эт. 1, п. В-2"
Премьер Декор,"+7 (499) 753-06-57, +7 (495) 640-86-45","105120, Москва, ул. Нижняя Сыромятническая, 10, стр. 2, 6 этаж, офис 39"
"ТК Шинуа, ООО","+7 (495) 637-61-61, +7 (903) 757-51-39","109316, Москва, Волгоградский пр-кт, 2"
Mebeluse.ru,8 (499) 390-56-68,"Москва, Высоковольтный проезд, 1, с. 39"
Мебель.ру,8 (800) 505-29-30,"Москва, Кожевническая улица, 7, стр. 1"
Светлогоры,8 (499) 394-23-04,"117587, Москва, Варшавское шоссе, 122а, оф. 9"
"Мебельный салон ""Ренессанс""",8 (925) 579-88-50,"143900, Балашиха, мкр. 1 Мая, 4, кор. 1 (ТЦ Восточный Ветер)"
Vintage Design,+7 (495) 984-85-95,"Москва, 1-я Брестская ул., 33, стр. 1"
Столешницы из искусственного камня,+7 (495) 643-66-87,"Москва, Зеленоград, корпус 1624"
Видные диваны,"+7 (926) 138-19-72, +7 (965) 199-79-77, +7 (925) 199-44-76","108851, Москва, Щербинка, ул. Новостроевская, 6"
Нет названия,Нет номера,Нет адресса
Мир Мебели,"+7 (49638) 21-517, +7 (49638) 22-148, +7 (916) 709-45-46, +7 (926) 918-83-96","143200, Можайск, ул. Дм. Пожарского, 1"
